"Age","Year","Metric","weeks_pregnant","value"
"Under 15",2016,"Count","Under 9",5
"15-19",2016,"Count","Under 9",1128
"20-24",2016,"Count","Under 9",3410
"25-29",2016,"Count","Under 9",3467
"30-34",2016,"Count","Under 9",2306
"35-39",2016,"Count","Under 9",1300
"40-44",2016,"Count","Under 9",481
"45 and Over",2016,"Count","Under 9",45
"Unknown",2016,"Count","Under 9",11
"Under 15",2016,"Percentage","Under 9",17.9
"15-19",2016,"Percentage","Under 9",63.2
"20-24",2016,"Percentage","Under 9",70.2
"25-29",2016,"Percentage","Under 9",73.5
"30-34",2016,"Percentage","Under 9",72
"35-39",2016,"Percentage","Under 9",72.3
"40-44",2016,"Percentage","Under 9",75.9
"45 and Over",2016,"Percentage","Under 9",80.4
"Unknown",2016,"Percentage","Under 9",64.7
"Under 15",2015,"Count","Under 9",12
"15-19",2015,"Count","Under 9",1256
"20-24",2015,"Count","Under 9",3578
"25-29",2015,"Count","Under 9",3259
"30-34",2015,"Count","Under 9",2220
"35-39",2015,"Count","Under 9",1315
"40-44",2015,"Count","Under 9",483
"45 and Over",2015,"Count","Under 9",42
"Unknown",2015,"Count","Under 9",2
"Under 15",2015,"Percentage","Under 9",38.7
"15-19",2015,"Percentage","Under 9",65.8
"20-24",2015,"Percentage","Under 9",70.2
"25-29",2015,"Percentage","Under 9",72.3
"30-34",2015,"Percentage","Under 9",70.7
"35-39",2015,"Percentage","Under 9",72.2
"40-44",2015,"Percentage","Under 9",74.3
"45 and Over",2015,"Percentage","Under 9",82.4
"Unknown",2015,"Percentage","Under 9",0
"Under 15",2014,"Count","Under 9",14
"15-19",2014,"Count","Under 9",1224
"20-24",2014,"Count","Under 9",3774
"25-29",2014,"Count","Under 9",3278
"30-34",2014,"Count","Under 9",2192
"35-39",2014,"Count","Under 9",1294
"40-44",2014,"Count","Under 9",462
"45 and Over",2014,"Count","Under 9",49
"Unknown",2014,"Count","Under 9",18
"Under 15",2014,"Percentage","Under 9",36.8
"15-19",2014,"Percentage","Under 9",64.2
"20-24",2014,"Percentage","Under 9",68.2
"25-29",2014,"Percentage","Under 9",71.7
"30-34",2014,"Percentage","Under 9",72.1
"35-39",2014,"Percentage","Under 9",72.7
"40-44",2014,"Percentage","Under 9",76.9
"45 and Over",2014,"Percentage","Under 9",94.2
"Unknown",2014,"Percentage","Under 9",64.3
"Under 15",2013,"Count","Under 9",20
"15-19",2013,"Count","Under 9",1380
"20-24",2013,"Count","Under 9",3804
"25-29",2013,"Count","Under 9",3125
"30-34",2013,"Count","Under 9",2068
"35-39",2013,"Count","Under 9",1177
"40-44",2013,"Count","Under 9",459
"45 and Over",2013,"Count","Under 9",46
"Unknown",2013,"Count","Under 9",13
"Under 15",2013,"Percentage","Under 9",45.5
"15-19",2013,"Percentage","Under 9",63.7
"20-24",2013,"Percentage","Under 9",68
"25-29",2013,"Percentage","Under 9",71
"30-34",2013,"Percentage","Under 9",71.1
"35-39",2013,"Percentage","Under 9",73.2
"40-44",2013,"Percentage","Under 9",72.5
"45 and Over",2013,"Percentage","Under 9",92
"Unknown",2013,"Percentage","Under 9",65
"Under 15",2012,"Count","Under 9",28
"15-19",2012,"Count","Under 9",1524
"20-24",2012,"Count","Under 9",3906
"25-29",2012,"Count","Under 9",3187
"30-34",2012,"Count","Under 9",2078
"35-39",2012,"Count","Under 9",1194
"40-44",2012,"Count","Under 9",485
"45 and Over",2012,"Count","Under 9",46
"Unknown",2012,"Count","Under 9",32
"Under 15",2012,"Percentage","Under 9",46.7
"15-19",2012,"Percentage","Under 9",62.5
"20-24",2012,"Percentage","Under 9",66.6
"25-29",2012,"Percentage","Under 9",70.2
"30-34",2012,"Percentage","Under 9",70.8
"35-39",2012,"Percentage","Under 9",71.5
"40-44",2012,"Percentage","Under 9",74.6
"45 and Over",2012,"Percentage","Under 9",85.2
"Unknown",2012,"Percentage","Under 9",78
"Under 15",2011,"Count","Under 9",37
"15-19",2011,"Count","Under 9",1829
"20-24",2011,"Count","Under 9",4270
"25-29",2011,"Count","Under 9",3406
"30-34",2011,"Count","Under 9",2209
"35-39",2011,"Count","Under 9",1257
"40-44",2011,"Count","Under 9",530
"45 and Over",2011,"Count","Under 9",48
"Unknown",2011,"Count","Under 9",24
"Under 15",2011,"Percentage","Under 9",54.4
"15-19",2011,"Percentage","Under 9",62.6
"20-24",2011,"Percentage","Under 9",66.2
"25-29",2011,"Percentage","Under 9",69.9
"30-34",2011,"Percentage","Under 9",70.5
"35-39",2011,"Percentage","Under 9",71
"40-44",2011,"Percentage","Under 9",71.1
"45 and Over",2011,"Percentage","Under 9",81.4
"Unknown",2011,"Percentage","Under 9",72.7
"Under 15",2016,"Count","9-12",11
"15-19",2016,"Count","9-12",392
"20-24",2016,"Count","9-12",950
"25-29",2016,"Count","9-12",782
"30-34",2016,"Count","9-12",531
"35-39",2016,"Count","9-12",307
"40-44",2016,"Count","9-12",94
"45 and Over",2016,"Count","9-12",8
"Unknown",2016,"Count","9-12",4
"Under 15",2016,"Percentage","9-12",39.3
"15-19",2016,"Percentage","9-12",21.9
"20-24",2016,"Percentage","9-12",19.6
"25-29",2016,"Percentage","9-12",16.6
"30-34",2016,"Percentage","9-12",16.6
"35-39",2016,"Percentage","9-12",17.1
"40-44",2016,"Percentage","9-12",14.8
"45 and Over",2016,"Percentage","9-12",14.3
"Unknown",2016,"Percentage","9-12",0
"Under 15",2015,"Count","9-12",13
"15-19",2015,"Count","9-12",412
"20-24",2015,"Count","9-12",973
"25-29",2015,"Count","9-12",784
"30-34",2015,"Count","9-12",567
"35-39",2015,"Count","9-12",305
"40-44",2015,"Count","9-12",100
"45 and Over",2015,"Count","9-12",6
"Unknown",2015,"Count","9-12",1
"Under 15",2015,"Percentage","9-12",41.9
"15-19",2015,"Percentage","9-12",21.6
"20-24",2015,"Percentage","9-12",19.1
"25-29",2015,"Percentage","9-12",17.4
"30-34",2015,"Percentage","9-12",18.1
"35-39",2015,"Percentage","9-12",16.7
"40-44",2015,"Percentage","9-12",15.4
"45 and Over",2015,"Percentage","9-12",11.8
"Unknown",2015,"Percentage","9-12",0
"Under 15",2014,"Count","9-12",14
"15-19",2014,"Count","9-12",426
"20-24",2014,"Count","9-12",1132
"25-29",2014,"Count","9-12",825
"30-34",2014,"Count","9-12",506
"35-39",2014,"Count","9-12",304
"40-44",2014,"Count","9-12",86
"45 and Over",2014,"Count","9-12",1
