County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
State Total2016,12.2,8.1,4.3,13.7,20.6,19.6,13.0,7.6,2.9,,
Adams2016,5.2,*,*,*,10.1,17.7,*,*,*,,
Asotin2016,7.8,*,*,*,13.5,10.2,11.9,*,*,,
Benton2016,9.8,8.4,5.3,13.8,16.7,15.0,11.7,3.8,2.0,,
Chelan2016,7.9,7.1,4.2,12.3,11.4,15.0,6.1,5.1,2.9,,
Clallam2016,11.1,7.9,7.6,8.3,20.3,16.1,11.3,8.2,*,,
Clark2016,10.1,6.0,3.3,10.6,18.9,18.1,11.6,5.3,1.6,,
Columbia2016,*,*,*,*,*,*,*,*,*,,
Cowlitz2016,8.4,4.8,*,11.8,13.8,14.3,9.2,5.7,1.7,,
Douglas2016,3.5,3.8,*,*,*,9.6,*,*,*,,
Ferry2016,10.7,*,*,*,*,39.7,*,*,*,,
Franklin2016,8.8,7.4,3.1,15.5,15.5,15.4,6.9,4.2,1.9,,
Garfield2016,*,*,*,*,*,*,*,*,*,,
Grant2016,6.8,5.3,*,13.3,14.4,10.5,7.4,2.1,*,,
Grays Harbor2016,12.0,9.3,4.8,17.4,14.7,25.4,13.6,8.4,*,,
Island2016,10.6,11.1,6.3,18.8,18.6,15.5,9.6,4.1,*,,
Jefferson2016,11.5,*,*,*,12.2,27.9,15.8,9.8,*,,
King2016,13.6,8.8,4.8,14.7,23.9,19.1,13.8,9.7,4.2,,
Kitsap2016,12.5,7.3,2.9,15.4,23.8,23.1,12.1,7.4,2.4,,
Kittitas2016,7.8,2.7,*,3.1,11.1,15.0,19.3,*,*,,
Klickitat2016,7.7,*,*,*,17.4,18.3,*,*,*,,
Lewis2016,11.7,10.0,5.0,18.8,22.5,16.5,11.6,7.6,*,,
Lincoln2016,8.2,*,*,*,*,26.5,*,*,*,,
Mason2016,11.9,10.2,*,22.7,20.5,20.2,12.4,5.2,*,,
Okanogan2016,8.4,*,*,*,17.8,20.3,8.9,*,*,,
Pacific2016,8.9,*,*,*,30.0,15.5,*,*,*,,
Pend Oreille2016,6.6,*,*,*,*,*,*,*,*,,
Pierce2016,16.2,10.8,6.1,18.8,26.7,26.3,18.2,9.3,3.4,,
San Juan2016,14.5,*,*,*,28.3,38.3,*,13.6,*,,
Skagit2016,10.9,12.4,6.2,23.5,21.3,15.0,9.4,3.4,2.4,,
Skamania2016,6.7,*,*,*,17.4,*,*,*,*,,
Snohomish2016,12.6,9.8,5.0,18.4,20.9,20.7,13.4,8.3,3.1,,
Spokane2016,10.4,6.0,3.9,8.7,15.9,17.0,12.8,6.0,1.8,,
Stevens2016,6.3,*,*,*,11.3,12.0,7.5,*,*,,
